epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,10512.6,0.76882,0.53711,0.99824,0.97114,0.91322,0.9557,0.74923,nan,nan,nan,0.0001652,0.0001652,0.0001652
141,10623.6,0.76935,0.50659,1.02257,0.96611,0.90834,0.95593,0.751,nan,nan,nan,0.000152,0.000152,0.000152
142,10731.8,0.75916,0.49623,1.01435,0.97546,0.90441,0.95397,0.7471,nan,nan,nan,0.0001388,0.0001388,0.0001388
143,10840.4,0.72114,0.48018,0.99956,0.96707,0.91595,0.95405,0.7475,nan,nan,nan,0.0001256,0.0001256,0.0001256
144,10949.1,0.74342,0.49264,1.00965,0.96708,0.91729,0.95597,0.75006,nan,nan,nan,0.0001124,0.0001124,0.0001124
145,11057.4,0.71052,0.47185,0.99219,0.96976,0.91304,0.95683,0.75184,nan,nan,nan,9.92e-05,9.92e-05,9.92e-05
146,11166,0.70963,0.47891,0.99808,0.96567,0.9155,0.95532,0.75504,nan,nan,nan,8.6e-05,8.6e-05,8.6e-05
147,11274.7,0.69466,0.46682,0.99104,0.96107,0.92065,0.95515,0.75302,nan,nan,nan,7.28e-05,7.28e-05,7.28e-05
148,11382.8,0.69756,0.46941,0.98927,0.97586,0.91186,0.95555,0.75369,nan,nan,nan,5.96e-05,5.96e-05,5.96e-05
149,11491,0.69117,0.45957,0.98439,0.9739,0.91087,0.95494,0.75686,nan,nan,nan,4.64e-05,4.64e-05,4.64e-05
150,11599.6,0.69135,0.46824,0.97748,0.9738,0.91322,0.95541,0.75497,nan,nan,nan,3.32e-05,3.32e-05,3.32e-05
